,V1,V2,V3,V4
537,0.761,0.681,1.54,0.704
2806,0.795,0.622,0.836,
4341,0.749,0.62,1.655,0.859
3175,0.902,,2.668,0.888
784,1.612,1.39,1.71,2.008
4057,0.767,0.476,1.776,1.106
1409,1.101,0.579,1.698,0.621
2537,2.761,,1.617,0.928
154,1.338,,,0.874
3009,1.468,,1.77,0.568
1686,1.897,1.386,2.006,
2901,,0.682,1.431,0.75
5398,0.821,0.815,1.302,3.628
4721,0.858,0.489,3.216,1.362
3863,1.246,0.547,1.834,0.999
2733,0.823,0.961,1.152,2.407
1895,0.792,0.622,,0.488
569,1.411,0.671,1.473,0.801
1816,1.22,0.697,1.288,0.897
2065,0.757,,3.019,0.747
127,,0.8,1.353,0.646
3394,1.108,,1.171,1.143
3327,0.78,0.744,1.506,0.844
5436,1.282,0.759,,1.624
2975,0.906,0.494,3.189,1.286
980,1.761,0.902,1.247,0.519
2300,1.312,0.458,1.842,1.248
190,,0.487,3.205,1.344
1139,1.279,0.548,1.845,0.612
5088,0.786,0.722,1.543,0.744
699,0.94,0.694,1.551,0.661
5213,0.834,0.465,1.445,0.419
606,0.825,0.454,,1.384
4276,0.841,0.414,2.671,
301,0.974,0.778,2.392,1.71
3420,0.889,,3.205,1.357
5254,2.783,0.615,1.662,0.928
1060,0.689,0.53,3.164,1.227
2565,2.249,0.484,1.816,1.436
5446,1.116,0.692,1.177,
1069,,,3.195,1.295
2524,2.997,0.72,1.525,
2205,1.306,0.604,2.803,0.619
1243,1.711,0.795,2.609,0.973
16,0.761,0.482,1.7,
3120,0.783,0.87,2.339,0.909
4642,1.58,0.799,1.327,0.493
4754,1.103,0.466,1.777,1.086
815,1.089,0.826,1.361,3.387
3067,1.422,0.703,,1.156
5217,3.302,,1.445,0.412
959,0.895,0.546,2.133,1.091
4893,0.937,0.76,2.165,0.87
225,1.512,0.47,1.782,0.938
3354,,0.783,1.554,
2485,,0.456,1.404,0.435
562,1.527,0.72,1.58,0.685
3436,0.892,0.472,2.594,1.367
1693,1.799,1.383,1.875,1.883
1045,1.247,0.633,1.537,0.965
3446,0.889,0.45,2.615,0.508
4565,0.935,0.618,1.717,1.188
954,,0.555,1.744,1.093
5435,1.297,0.766,1.36,0.775
2735,0.822,0.95,,2.604
5348,1.08,0.938,1.244,2.358
4735,0.849,,1.941,1.362
5257,2.738,0.599,1.682,0.973
1218,0.831,0.911,2.094,1.469
1527,,,2.561,1.358
3987,,0.386,2.711,0.938
5380,,0.854,1.188,2.599
1300,1.545,0.453,1.844,1.022
5335,1.251,2.38,1.31,2.203
160,1.212,,1.547,
4067,1.724,0.469,1.993,
956,,0.551,1.766,1.087
3791,1.14,0.556,1.622,1.043
3234,0.572,0.507,,1.044
2869,0.795,0.825,1.336,0.55
3777,1.36,0.622,,0.812
4433,1.804,,,1.898
4973,1.522,0.484,1.803,1.069
2961,0.98,0.504,1.689,1.217
2200,1.403,0.626,2.036,1.08
98,0.801,0.667,2.454,1.241
2557,2.399,0.534,1.758,
3183,2.659,0.692,2.714,
253,1.143,,1.56,1.525
3923,1.586,0.763,2.919,1.722
4199,1.521,0.748,1.577,0.733
1445,0.796,0.793,1.464,0.781
1648,1.78,0.418,1.897,
4682,1.394,,1.473,0.794
4723,0.853,0.487,3.217,1.362
3991,1.671,0.398,2.714,0.94
1696,1.671,,1.795,1.92
3191,,0.662,2.05,0.933
4499,0.782,0.842,1.282,2.657
1154,1.495,,1.85,1.483
2255,0.756,0.459,1.764,1.07
1682,1.958,1.391,2.003,1.722
3170,0.933,0.353,,0.859
2056,0.934,,3.052,1.766
4090,1.639,0.461,1.873,1.138
3108,0.832,0.765,2.802,1.56
4548,,0.724,,0.83
3723,,0.552,2.94,0.605
2049,1.065,0.607,,1.628
4976,,0.484,1.807,1.069
3643,0.807,0.837,1.269,0.873
5375,0.822,0.914,1.261,2.601
623,0.824,0.44,2.67,1.38
262,0.975,0.664,2.005,1.602
3369,1.534,0.739,1.606,0.716
4061,1.512,0.472,1.785,1.073
1802,1.38,,1.44,
4736,0.848,0.474,1.941,1.361
5444,,0.706,1.215,0.919
2385,0.787,0.752,1.585,0.697
1959,1.305,0.61,1.55,
2976,,,,1.302
488,1.349,,1.787,0.884
1843,0.887,,1.712,1.223
1734,1.001,0.762,1.369,2.397
2911,1.327,,1.48,0.862
3219,,0.563,2.146,0.827
146,1.494,0.727,,0.722
1986,0.833,0.51,,
1369,1.323,,1.877,1.215
2811,0.803,0.617,0.877,
659,0.802,0.431,1.42,0.381
1794,0.847,0.753,1.423,0.733
2511,,0.813,1.429,0.457
3397,1.048,0.577,1.114,
4282,0.825,0.408,,
1147,1.341,0.619,2.799,0.705
3272,,0.483,1.837,1.153
608,0.822,0.452,3.248,
3582,,0.775,1.497,2.181
1930,1.472,0.67,1.443,0.704
197,0.859,,3.209,1.341
2931,,0.622,1.542,0.903
2327,1.226,0.521,1.751,0.584
4389,2.233,0.45,1.884,1.471
766,1.96,1.434,1.966,1.725
4496,0.783,0.841,1.28,2.658
4218,,0.631,1.25,
3255,1.752,,1.932,1.047
202,0.852,0.472,1.924,
3510,,,1.67,1.08
4931,1.231,0.582,2.203,0.7
1733,1.008,0.758,1.37,2.39
2777,1.226,0.791,1.274,0.882
1707,1.372,0.764,1.636,2.064
5172,0.837,0.494,3.221,1.415
5249,2.846,0.634,1.637,0.864
3474,3.266,0.845,1.408,0.438
854,0.779,0.817,,3.643
4737,0.848,0.473,,1.114
4097,1.371,0.466,1.851,
2160,1.818,0.341,2.183,0.826
698,0.94,0.694,1.544,0.642
5396,0.823,0.865,1.302,3.634
2999,1.101,0.472,,1.116
3696,0.783,0.601,1.628,1.326
1636,2.472,0.482,1.807,1.214
3457,0.879,0.553,1.392,
3581,1.333,0.772,1.508,
1291,0.896,0.501,1.913,
4659,1.553,0.729,1.393,0.629
1853,0.808,0.536,1.693,1.299
5232,,0.749,1.51,0.556
3763,0.904,0.682,1.435,0.661
3304,1.147,0.621,1.655,1.115
5358,,0.937,,2.386
3743,0.934,,1.38,0.523
3445,0.886,0.451,2.613,0.497
1998,0.805,0.498,1.975,1.435
663,0.805,0.479,,0.379
4779,1.307,0.526,1.704,0.928
3748,,0.722,1.396,0.565
4413,2.074,,1.932,
4744,1.132,,1.772,1.094
709,2.581,,1.619,0.852
1282,1.076,0.558,1.932,1.429
5068,0.828,0.72,1.54,1.44
2675,,1.274,1.381,2.314
4029,1.105,0.553,2.797,
1306,1.541,0.452,1.84,1.025
2237,1.84,,1.891,0.972
3302,1.186,0.608,1.669,1.074
2038,1.267,0.54,1.754,0.971
1529,,0.496,2.561,1.361
1663,,,1.963,1.511
5382,0.823,0.847,1.19,2.6
5402,0.813,0.804,1.31,3.625
3627,0.814,0.887,,2.649
5147,0.698,0.548,1.013,1.303
4891,,0.76,2.167,0.87
2693,1.072,1.198,1.178,2.373
3060,,0.697,2.976,1.138
1597,,0.667,1.557,0.696
2729,0.821,0.965,1.144,2.586
2625,1.556,1.413,1.672,2.054
3157,0.943,0.35,2.652,0.856
3314,0.952,0.686,1.581,1.323
1722,1.149,2.234,1.451,2.3
5279,2.312,0.499,1.802,1.393
1059,0.992,0.54,3.157,1.209
4636,0.811,0.665,1.33,0.519
3242,0.802,0.496,1.854,1.099
1678,2.015,1.4,2.0,1.667
1757,0.778,0.793,1.324,3.631
4191,1.532,,1.588,
5116,1.524,0.742,1.597,0.734
563,1.513,0.714,,0.699
2790,1.081,,1.149,1.027
863,0.769,,1.335,0.796
1484,1.14,0.647,,1.07
5134,1.196,0.633,1.266,
206,0.873,0.462,1.826,1.085
4488,,0.837,1.278,
870,0.769,0.791,1.36,0.775
4493,0.778,0.843,1.279,2.662
502,,0.571,1.705,0.644
1028,0.921,0.718,,0.765
3840,1.455,0.483,1.787,1.187
2690,1.107,1.185,,3.48
5056,1.056,0.635,1.644,0.703
1570,0.756,0.606,1.469,0.549
2773,,0.8,1.274,0.881
2731,0.822,0.962,0.892,2.586
804,1.242,2.252,1.435,2.322
3645,0.874,0.83,1.272,0.865
2454,0.87,,2.585,1.403
4598,0.826,0.559,1.696,1.164
3104,0.898,0.771,2.839,5.0
4875,0.79,0.398,2.652,0.894
200,0.85,0.475,2.277,
3099,0.968,0.763,2.878,
2278,1.705,,1.98,
3561,1.782,1.394,1.853,1.913
4474,,0.848,1.334,2.429
4514,,0.905,1.304,3.678
391,2.528,0.66,2.066,0.972
5258,2.722,0.597,1.688,0.99
1495,0.759,0.569,3.139,1.275
2695,1.054,1.007,1.163,
2027,1.385,0.497,1.933,1.044
5248,2.861,0.638,1.632,0.85
2568,2.195,0.486,1.836,1.489
64,,0.494,2.849,0.683
3884,0.821,0.675,3.01,1.671
2062,0.776,0.661,3.021,1.882
5276,2.371,0.508,1.787,1.338
492,1.292,0.516,1.769,0.932
379,2.681,,2.163,0.93
4859,0.792,0.892,2.777,1.179
3993,2.67,0.43,2.715,0.943
4887,0.944,0.364,2.649,0.866
1076,,0.482,3.205,1.324
878,1.346,0.743,,0.765
337,0.787,,2.809,5.0
1016,0.817,,1.383,0.751
1275,1.985,0.606,1.77,
3798,1.037,0.528,3.165,1.165
4551,1.247,0.71,1.87,0.877
3342,0.772,0.743,1.516,0.766
4911,2.537,,2.759,1.051
995,1.75,0.542,1.252,0.499
1981,0.919,0.523,1.691,1.297
4297,0.835,0.43,1.444,0.386
161,1.193,0.623,1.555,1.015
4798,,0.662,2.088,1.617
1500,0.655,0.534,0.914,1.359
3843,1.428,0.485,1.791,0.582
5225,,0.795,,0.444
2613,,1.411,1.672,2.036
3461,,0.539,1.41,0.43
1021,1.46,0.722,1.391,0.756
3073,,0.733,2.941,1.781
3943,0.77,0.799,2.75,4.331
1585,3.162,0.598,1.475,
1955,1.366,0.627,1.489,0.802
3152,1.794,0.35,2.65,0.854
34,1.624,0.473,1.704,0.474
4014,1.367,0.619,2.806,0.59
775,,1.403,1.995,1.87
2556,,0.532,,1.27
1478,1.257,0.689,2.999,0.958
1363,1.594,0.422,1.715,1.157
2612,1.629,1.411,1.674,2.034
2824,0.805,0.583,,1.302
2041,1.217,0.558,1.903,1.024
241,1.381,0.515,1.42,1.312
2061,0.794,0.653,3.025,1.601
2363,0.777,0.719,1.531,0.741
600,0.58,0.465,0.896,1.375
2435,0.865,,3.188,1.377
5393,0.82,0.823,1.291,
2888,,0.766,1.348,0.528
646,0.819,0.407,1.46,
3890,,0.677,2.224,1.11
3556,1.876,1.419,1.986,
3202,1.378,0.584,1.98,0.571
1528,0.854,0.498,2.562,
1267,2.334,0.629,1.608,
1899,0.815,0.511,1.334,0.462
4658,1.569,0.737,1.385,0.611
3005,1.5,0.473,1.763,1.122
2734,0.823,0.955,1.153,2.414
189,0.865,0.488,3.207,1.347
1806,1.37,0.735,1.433,0.74
975,0.88,0.526,2.891,0.591
2747,0.817,0.927,1.18,3.688
2047,1.101,0.595,3.101,
2558,2.381,0.525,1.766,1.307
1082,0.859,0.474,1.796,1.336
474,1.304,0.483,,1.279
2904,1.395,0.659,1.452,0.801
4843,0.974,0.782,2.878,1.739
4117,1.377,0.505,1.785,0.861
3385,1.281,0.651,,
4555,1.025,0.689,1.569,
1184,,0.806,1.897,0.859
5051,1.151,0.601,1.682,0.669
5311,1.584,1.446,1.614,2.114
2433,0.863,0.502,3.194,1.374
2391,1.502,0.731,,0.741
769,1.914,1.415,1.978,1.769
1685,,1.386,2.005,1.767
130,0.88,0.776,1.346,0.632
2919,1.311,,1.486,0.877
3171,,0.744,2.66,0.865
3444,0.887,0.453,1.416,0.506
4426,1.905,,1.963,1.795
5334,1.267,2.373,1.319,2.192
466,1.567,0.478,1.852,1.204
3092,0.995,0.767,2.892,
3772,1.415,0.651,1.473,0.758
5191,0.839,0.456,1.471,0.82
5226,3.256,0.79,1.466,0.457
5390,0.822,0.83,1.285,5.0
860,0.768,,1.324,3.645
